,name,Group
1,Escherichia_phage_aaroes,Hanrivervirus
2,Escherichia_phage_damhaus,Hanrivervirus
3,Citrobacter_phage_CF1_DK-2017,Hicfunavirus
4,Citrobacter_phage_Sazh,Tlsvirus
5,Escherichia_phage_ADB-2,Tunavirus
6,Escherichia_phage_Eco_BIFF,Tunavirus
7,Escherichia_phage_SRT8,Sertoctavirus
8,Escherichia_phage_aalborv,Hanrivervirus
9,Escherichia_phage_atuna,Warwickvirus
10,Klebsiella_phage_KP36,Webervirus
11,Klebsiella_phage_vB_KpnS_Call,Webervirus
12,Klebsiella_phage_vB_KpnS_Domnhall,Webervirus
