,name,Group
1,Escherichia_phage_aaroes.fasta,Hanrivervirus
2,Escherichia_phage_damhaus.fasta,Hanrivervirus
3,Citrobacter_phage_CF1,Hicfunavirus
4,Citrobacter_phage_Sazh.fasta,Tlsvirus
5,Escherichia_phage_ADB-2.fasta,Tunavirus
6,Escherichia_phage_Eco_BIFF.fasta,Tunavirus
7,Klebsiella_phage_KP36.fasta,Webervirus
8,Klebsiella_phage_vB_KpnS_Call.fasta,Webervirus
9,Klebsiella_phage_vB_KpnS_Domnhall.fasta,Webervirus
10,Escherichia_phage_SRT8.fasta,Sertoctavirus
11,Escherichia_phage_aalborv.fasta,Hanrivervirus
12,Escherichia_phage_atuna.fasta,Warwickvirus
13,Klebsiella_phage_p1979.fasta,Drulisvirus
14,Klebsiella_phage_vB8388.fasta,Teetrevirus
